프로그램명,방송시작일,채널,요일,게시글수,댓글수,동영상조회(K),뉴스,동영상수,가구 시청자수(K),개인 시청자수(K),남성 시청자수(K),여성 시청자수(K),10대 시청자수(K),20대 시청자수(K),30대 시청자수(K),40대 시청자수(K),50대 시청자수(K),TV VOD 시청자수(K),PC 실시간(K),PC VOD(K),Mobile 실시간(K),Mobile VOD(K)
슬기로운 의사생활2,2021.06.17,tvN,수목,"12,771","84,119","14,120","3,598",280,"2,232","4,018","1,624","2,394",337,350,581,"1,178",932,2.1,"12,534","22,515","68,194","194,643"
펜트하우스3,2021.06.04,SBS,금,"10,592","101,335","29,811","3,206",171,"3,092","5,140","2,092","3,048",356,440,604,"1,032","1,407",0.7,"2,899","6,157","39,926","109,005"
너는 나의 봄,2021.07.05,tvN,월화,"5,125","18,033","3,422","3,805",407,503,761,292,470,46,71,89,208,188,1.2,"1,020","2,834","15,944","51,834"
결혼작사 이혼작곡 시즌2,2021.06.12,TV CHOS,토일,"4,876","17,494","4,896","2,903",156,"1,573","2,227",860,"1,366",57,161,149,243,549,0.5,858,"13,344","11,197","66,309"
악마판사,2021.07.03,tvN,토일,"4,715","27,361","13,867","3,858",525,991,"1,619",685,934,78,135,198,374,449,1.5,"2,878","4,986","45,917","109,146"
라켓소년단,2021.05.31,SBS,월화,"2,843","17,706","3,291","1,926",206,"1,072","1,792",825,967,124,152,182,417,543,1.2,46,"5,208","11,877","62,187"
오케이 광자매,2021.03.13,KBS2,토일,"2,516","8,865","3,323","1,615",241,"4,878","7,095","2,990","4,105",246,442,492,967,"1,744",0.2,946,"18,899","23,587","19,084"
보이스 4,2021.06.18,tvN,금,"2,506","12,964","2,239","2,350",469,701,"1,145",521,624,70,97,115,338,313,1.4,"2,858","16,725","40,305","101,043"
"알고있지만,",2021.06.19,JTBC,토일,"2,487","41,401","13,791","3,093",300,226,343,129,213,21,44,65,86,72,0.6,100,"4,538","9,121","67,473"
월간 집,2021.06.16,JTBC,수목,"2,136","9,574","3,651","2,266",387,386,577,236,341,20,34,46,132,181,0.4,42,"8,160","8,391","32,734"
간 떨어지는 동거,2021.05.26,tvN,수목,"2,094","18,645","10,401","1,950",315,679,"1,135",458,677,123,91,151,340,273,0.5,"4,802","9,227","30,541","83,569"
멀리서 보면 푸른 봄,2021.06.14,KBS2,월화,"1,706","21,537","1,175","2,143",161,399,532,222,310,30,32,47,77,143,0.1,809,"1,760","4,122","10,568"
미치지 않고서야,2021.06.23,MBC,수목,"1,179","3,764",645,"1,619",208,711,997,464,532,25,57,121,169,241,0.2,-,535,"8,184","13,089"
이미테이션,2021.05.07,KBS2,금,809,"8,151",512,"1,069",97,189,267,108,159,12,29,33,44,58,0.1,873,"2,856","5,364","4,747"
경찰수업,2021.08.09,KBS2,월화,294,"1,144",123,828,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
어느 날 우리 집 현관으로 멸망이 들어왔다,2021.05.10,tvN,월화,189,"3,072",416,1,10,-,-,-,-,-,-,-,-,-,-,-,473,692,"39,576"
보쌈-운명을 훔치다,2021.05.01,MBN,토일,122,539,394,320,77,"1,245","1,688",735,954,26,118,84,174,407,0.1,842,"2,299","3,939","5,490"
더 로드 : 1의 비극,2021.08.04,tvN,수목,110,304,43,628,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-
괴기맨숀:디 오리지널,2021.07.30,SKY,금,90,261,4,589,6,13,19,6,13,-,1,3,9,1,-,-,-,-,-
이벤트를 확인하세요,2021.08.14,MBC,토일,37,188,11,83,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
