,프로그램명,채널명,출연진내용,총시청률
0,경이로운소문,OCN,"'조병규', '유준상', '김세정'",3.1169305677655674
1,번외수사,OCN,"'차태현', '이선빈', '정상훈'",1.130758198757764
2,써치,OCN,"'장동윤', '정수정', '문정희'",1.0905784415584416
3,미씽그들이있었다,OCN,"'고수', '허준호', '안소희'",1.0644997290640394
4,본대로말하라,OCN,"'장혁', '최수영', '진서연'",0.9457392142857143
5,루갈,OCN,"'최진혁', '박성웅', '조동혁'",0.8210887557603687
6,트레인,OCN,"'윤시윤', '경수진', '신소율'",0.43004665714285717
7,보이스시즌4,OCN,"'송승헌', '이하나', '이규형'",0.30556198979591837
8,다크홀,OCN,"'김옥빈', '이준혁', '임원희'",0.29962438423645316
9,손THEGUEST,OCN,"'김동욱', '김재욱', '정은채'",0.2330442857142857
10,트랩,OCN,"'이서진', '성동일', '임화영'",0.1863614285714285
11,홈타운,OCN,"'유재명', '한예리', '엄태구'",0.1193778571428571
